Nome da Nota,Data da Última Modificação,Data da Nota,Tags,Contagem de Palavras,Links,Caminho da Nota,Palavras/Link,cont_tags,quão_escondido
Quanto ao papel,2023-09-28,,"['Português', 'fonologia']",62,0,01 - Progetos\Português\Quanto ao papel.md,0.768348623853211,2,2
Quanto ao timbre,2023-09-28,,"['Português', 'fonologia']",54,0,01 - Progetos\Português\Quanto ao timbre.md,0.8291284403669725,2,2
Quanto à intensidade,2023-09-28,,"['Português', 'fonologia']",33,0,01 - Progetos\Português\Quanto à intensidade.md,1.0384174311926606,2,2
Quanto à zona de articulação,2023-09-28,,"['Português', 'fonologia']",54,0,01 - Progetos\Português\Quanto à zona de articulação.md,0.8291284403669725,2,2
Segunda leitura,2023-10-25,,[],20,7,01 - Progetos\Português\Segunda leitura.md,9.990291262135923,0,2
Semivogal,2023-10-02,,"['Português', 'fonologia']",40,2,01 - Progetos\Português\Semivogal.md,2.9805309734513274,2,2
silabada,2023-10-01,,"['Português', 'fonologia']",18,1,01 - Progetos\Português\silabada.md,2.4057142857142857,2,2
Substantivo,2023-11-02,,"['Português', 'Classes_de_palavras']",87,4,01 - Progetos\Português\Substantivo.md,3.2588235294117647,2,2
Sílaba tônica,2023-10-07,,"['Português', 'fonologia']",117,6,01 - Progetos\Português\Sílaba tônica.md,3.7049180327868854,2,2
Sílaba,2023-09-30,,"['Português', 'fonologia']",82,7,01 - Progetos\Português\Sílaba.md,5.563106796116505,2,2
Translineação,2023-10-06,,"['Português', 'fonologia']",578,22,01 - Progetos\Português\Translineação.md,3.641025641025641,2,2
Trissílaba,2023-09-28,,"['Português', 'fonologia']",21,1,01 - Progetos\Português\Trissílaba.md,2.328,2,2
Tritongo,2023-10-02,,"['Português', 'fonologia']",84,3,01 - Progetos\Português\Tritongo.md,2.6897374701670644,2,2
Tônicos,2023-10-01,,"['Português', 'fonologia']",24,0,01 - Progetos\Português\Tônicos.md,1.1313073394495412,2,2
Átonos,2023-10-01,,"['Português', 'fonologia']",25,0,01 - Progetos\Português\Átonos.md,1.1192660550458715,2,2
mineração de dado,2024-10-01,2024-10-01,['DataAnalyst'],55,0,01 - Progetos\zData Analyst\mineração de dado.md,0.8205275229357798,1,2
Site com dados.,2025-02-12,2025-02-12,[],22,1,01 - Progetos\zData Analyst\Site com dados..md,2.302857142857143,0,2
Sites,2024-08-24,2024-08-24,[],9,2,01 - Progetos\zData Analyst\Sites.md,4.012389380530974,0,2
Voluntário,2025-06-17,,[],4,0,01 - Progetos\zData Analyst\Voluntário.md,1.322821100917431,0,2
Dúvidas,2025-05-01,2025-05-01,[],112,0,01 - Progetos\zData Analyst\0 Oque fazer\Dúvidas.md,0.5349770642201835,0,3
Geral,2025-08-17,2024-08-05,['Datascience'],97,17,01 - Progetos\zData Analyst\0 Oque fazer\Geral.md,14.73913043478261,1,3
O Que Você Precisa Descobrir Sobre uma Empresa Durante sua Primeira Semana,2025-05-01,2025-05-01,[],21,0,01 - Progetos\zData Analyst\0 Oque fazer\O Que Você Precisa Descobrir Sobre uma Empresa Durante sua Primeira Semana.md,1.1680045871559632,0,3
00001,2025-03-19,,[],4,0,01 - Progetos\zData Analyst\Conceitos\00001.md,1.322821100917431,0,3
AARRR,2025-03-14,,[],0,0,01 - Progetos\zData Analyst\Conceitos\AARRR.md,1.3549311926605505,0,3
Alcance vx Impacto.,2025-03-19,2025-03-19,[],73,0,01 - Progetos\zData Analyst\Conceitos\Alcance vx Impacto..md,0.694954128440367,0,3
Análise inicial do DF,2024-12-21,2024-12-21,[],35,0,01 - Progetos\zData Analyst\Conceitos\Análise inicial do DF.md,1.010894495412844,0,3
Atividade do Usuário,2025-03-14,,[],181,0,01 - Progetos\zData Analyst\Conceitos\Atividade do Usuário.md,0.36754587155963303,0,3
Boas Práticas na Comunicação de Análises,2025-03-27,2025-03-27,['Softskills'],198,0,01 - Progetos\zData Analyst\Conceitos\Boas Práticas na Comunicação de Análises.md,0.3388761467889908,1,3
CAC,2025-03-14,2025-03-14,[],84,0,01 - Progetos\zData Analyst\Conceitos\CAC.md,0.6462155963302753,0,3
churn,2024-11-11,2024-11-11,['DataAnalyst'],42,0,01 - Progetos\zData Analyst\Conceitos\churn.md,0.9466743119266054,1,3
