Nome da Nota,Data da Última Modificação,Data da Nota,Tags,Contagem de Palavras,Links,Caminho da Nota,Palavras/Link,cont_tags,quão_escondido
Excel,2024-09-05,2024-08-25,['DataAnalyst'],59,3,01 - Progetos\zData Analyst\Estatística\Excel.md,3.3198090692124107,1,3
Exploração,2024-08-25,2024-08-25,[],40,5,01 - Progetos\zData Analyst\Estatística\Exploração.md,5.888111888111888,0,3
"Hipótese (H0, H1)",2025-09-21,2025-09-21,[],566,13,"01 - Progetos\zData Analyst\Estatística\Hipótese (H0, H1).md",1.5463917525773196,0,3
Indrodução,2024-12-31,2024-08-25,['DataAnalyst'],77,10,01 - Progetos\zData Analyst\Estatística\Indrodução.md,8.8796992481203,1,3
Insights,2024-12-31,2024-09-04,['DataAnalyst'],44,5,01 - Progetos\zData Analyst\Estatística\Insights.md,5.653846153846154,1,3
Intervalo de Confiança,2025-09-21,2025-09-21,[],498,24,01 - Progetos\zData Analyst\Estatística\Intervalo de Confiança.md,5.903225806451613,0,3
Intervalo Interquartil (IQR),2025-09-19,2025-09-19,[],48,3,01 - Progetos\zData Analyst\Estatística\Intervalo Interquartil (IQR).md,3.6706443914081146,0,3
Limpeza de dados,2024-08-25,2024-08-25,['DataAnalyst'],33,1,01 - Progetos\zData Analyst\Estatística\Limpeza de dados.md,2.069714285714286,1,3
Mediana,2025-01-02,2024-09-03,['DataAnalyst'],14,1,01 - Progetos\zData Analyst\Estatística\Mediana.md,2.5028571428571427,1,3
Medidas de Tendência Central,2024-12-31,2024-09-03,['DataAnalyst'],55,6,01 - Progetos\zData Analyst\Estatística\Medidas de Tendência Central.md,5.864754098360656,1,3
Medidas,2024-12-31,2024-09-03,['DataAnalyst'],17,3,01 - Progetos\zData Analyst\Estatística\Medidas.md,5.076372315035799,1,3
Moda,2024-12-31,2024-09-03,['DataAnalyst'],175,7,01 - Progetos\zData Analyst\Estatística\Moda.md,3.2135922330097086,1,3
Média,2024-12-31,2024-09-03,['DataAnalyst'],34,10,01 - Progetos\zData Analyst\Estatística\Média.md,13.443609022556391,1,3
Padrões & Tendências & Relações,2024-12-31,2024-09-04,['DataAnalyst'],55,3,01 - Progetos\zData Analyst\Estatística\Padrões & Tendências & Relações.md,3.41527446300716,1,3
Percentis,2025-09-19,2025-09-19,[],51,0,01 - Progetos\zData Analyst\Estatística\Percentis.md,0.8514908256880734,0,3
Probabilidade Condicional,2025-09-21,2025-09-21,[],461,1,01 - Progetos\zData Analyst\Estatística\Probabilidade Condicional.md,0.24914285714285714,0,3
Probabilidade,2025-09-21,2025-09-21,[],350,3,01 - Progetos\zData Analyst\Estatística\Probabilidade.md,0.7398568019093079,0,3
Quartis,2025-09-19,2025-09-19,['DataAnalyst'],62,4,01 - Progetos\zData Analyst\Estatística\Quartis.md,3.9411764705882355,1,3
Regra dos três sigmas,2025-01-25,2025-01-03,['Conceito'],37,4,01 - Progetos\zData Analyst\Estatística\Regra dos três sigmas.md,5.08235294117647,1,3
Sem título,2024-08-28,,[],240,0,01 - Progetos\zData Analyst\Estatística\Sem título.md,0.2775229357798165,0,3
Significância,2025-01-09,2025-01-09,[],6,0,01 - Progetos\zData Analyst\Estatística\Significância.md,1.3107798165137614,0,3
T teste,2025-01-09,2025-01-08,['Conceito'],53,1,01 - Progetos\zData Analyst\Estatística\T teste.md,1.664,1,3
Teorema central do limite,2025-01-25,2025-01-08,[],38,3,01 - Progetos\zData Analyst\Estatística\Teorema central do limite.md,4.090692124105012,0,3
Teorema de Bayes,2025-09-19,2025-09-19,[],557,15,01 - Progetos\zData Analyst\Estatística\Teorema de Bayes.md,1.9382716049382716,0,3
Teste Qui-Quadrado,2025-09-21,2025-09-21,[],739,21,01 - Progetos\zData Analyst\Estatística\Teste Qui-Quadrado.md,2.652173913043478,0,3
tipos de caldas(Curtose),2025-09-19,2025-09-19,[],59,6,01 - Progetos\zData Analyst\Estatística\tipos de caldas(Curtose).md,5.700819672131147,0,3
Tipos de variáveis,2024-09-03,2024-09-03,['DataAnalyst'],38,2,01 - Progetos\zData Analyst\Estatística\Tipos de variáveis.md,3.033628318584071,1,3
Valor esperado = média,2025-01-25,2025-01-08,[],35,2,01 - Progetos\zData Analyst\Estatística\Valor esperado = média.md,3.120353982300885,0,3
Valor-p,2025-01-08,2025-01-08,['Conceito'],108,1,01 - Progetos\zData Analyst\Estatística\Valor-p.md,1.0925714285714285,1,3
Variáveis discretas,2025-01-04,2024-09-03,['DataAnalyst'],28,0,01 - Progetos\zData Analyst\Estatística\Variáveis discretas.md,1.0934633027522935,1,3
Variáveis ​​Contínuas,2024-12-31,2024-09-03,['DataAnalyst'],19,0,01 - Progetos\zData Analyst\Estatística\Variáveis ​​Contínuas.md,1.1943807339449541,1,3
Variáveis ​​Nominais,2024-09-03,2024-09-03,[],19,1,01 - Progetos\zData Analyst\Estatística\Variáveis ​​Nominais.md,2.380571428571429,0,3
Variáveis ​​Ordinais,2024-09-03,2024-09-03,[],24,1,01 - Progetos\zData Analyst\Estatística\Variáveis ​​Ordinais.md,2.254857142857143,0,3
Variáveis ​​Qualitativas (ou Categóricas),2024-09-03,2024-09-03,[],10,2,01 - Progetos\zData Analyst\Estatística\Variáveis ​​Qualitativas (ou Categóricas).md,3.982300884955752,0,3
Variáveis ​​Quantitativas,2024-12-31,2024-09-03,['DataAnalyst'],11,2,01 - Progetos\zData Analyst\Estatística\Variáveis ​​Quantitativas.md,3.943362831858407,1,3
Variância,2025-01-07,2025-01-03,['Conceito'],85,1,01 - Progetos\zData Analyst\Estatística\Variância.md,1.278857142857143,1,3
Visualização de dados,2024-08-25,2024-08-25,['DataAnalyst'],42,6,01 - Progetos\zData Analyst\Estatística\Visualização de dados.md,6.766393442622951,1,3
Z-score,2025-01-06,2025-01-06,[],20,2,01 - Progetos\zData Analyst\Estatística\Z-score.md,3.6424778761061947,0,3
Avaliar fórmula,2024-12-31,2024-09-06,['DataAnalyst'],18,0,01 - Progetos\zData Analyst\Excel\Avaliar fórmula.md,1.2069954128440368,1,3
DADADIF,2024-08-25,2024-08-25,['DataAnalyst'],95,1,01 - Progetos\zData Analyst\Excel\DADADIF.md,1.1782857142857144,1,3
F4,2024-11-04,2024-11-04,['Comando'],63,1,01 - Progetos\zData Analyst\Excel\F4.md,1.5154285714285713,1,3
Função TEXTO,2024-12-31,2024-09-06,['DataAnalyst'],160,1,01 - Progetos\zData Analyst\Excel\Função TEXTO.md,0.8297142857142857,1,3
Função.excel,2024-12-31,2024-08-25,['DataAnalyst'],338,13,01 - Progetos\zData Analyst\Excel\Função.excel.md,3.3195876288659796,1,3
hlookup,2024-08-25,,[],0,0,01 - Progetos\zData Analyst\Excel\hlookup.md,1.3549311926605505,0,3
SE,2024-09-07,2024-08-25,['DataAnalyst'],62,2,01 - Progetos\zData Analyst\Excel\SE.md,2.3716814159292037,1,3
SEERRO,2024-12-31,2024-09-06,['DataAnalyst'],59,0,01 - Progetos\zData Analyst\Excel\SEERRO.md,0.7975917431192661,1,3
Tabelas dinâmicas,2024-12-31,2024-09-07,['DataAnalyst'],13,1,01 - Progetos\zData Analyst\Excel\Tabelas dinâmicas.md,2.5188571428571427,1,3
Variáveis no excel,2024-12-31,2024-09-06,['DataAnalyst'],29,3,01 - Progetos\zData Analyst\Excel\Variáveis no excel.md,4.508353221957041,1,3
vlookup,2024-08-25,,[],0,0,01 - Progetos\zData Analyst\Excel\vlookup.md,1.3549311926605505,0,3
99freelas,2025-07-10,2025-07-10,[],376340,0,01 - Progetos\zData Analyst\Frella\99freelas.md,0.0011467889908256881,0,3
Freela,2025-07-13,2024-12-02,[],25,1,01 - Progetos\zData Analyst\Frella\Freela.md,2.230857142857143,0,3
prompt,2025-08-18,,[],553,0,01 - Progetos\zData Analyst\Frella\prompt.md,0.09174311926605505,0,3
Quais consigo fazer.,2024-08-05,2024-08-04,[],30,6,01 - Progetos\zData Analyst\Frella\Quais consigo fazer..md,7.655737704918033,0,3
Quais vou fazer,2024-08-27,2024-08-27,[],11,1,01 - Progetos\zData Analyst\Frella\Quais vou fazer.md,2.5462857142857143,0,3
Sobre a msg inicial,2025-07-21,2025-07-21,[],615,2,01 - Progetos\zData Analyst\Frella\Sobre a msg inicial.md,0.2407079646017699,0,3
Áreas escolhidas,2025-07-20,,[],164,1,01 - Progetos\zData Analyst\Frella\Áreas escolhidas.md,0.8102857142857143,0,3
Automação de dashboard,2025-09-16,2025-09-16,['Comando'],271,0,01 - Progetos\zData Analyst\Frella\Projetos\Automação de dashboard.md,0.23853211009174313,1,4
Dashboard de Análise de Performance para Marketing Digital,2025-07-16,2025-07-12,[],413,0,01 - Progetos\zData Analyst\Frella\Projetos\Dashboard de Análise de Performance para Marketing Digital.md,0.14908256880733944,0,4
2 esboço,2025-08-05,,[],44,0,01 - Progetos\zData Analyst\Frella\Projetos\botão att\2 esboço.md,0.9271788990825688,0,5
Cartorio,2025-07-30,,[],34,0,01 - Progetos\zData Analyst\Frella\Projetos\botão att\Cartorio.md,1.025229357798165,0,5
Checklist,2025-07-31,,[],87,1,01 - Progetos\zData Analyst\Frella\Projetos\botão att\Checklist.md,1.2662857142857142,0,5
esboço,2025-07-30,2025-07-30,[],190,0,01 - Progetos\zData Analyst\Frella\Projetos\botão att\esboço.md,0.35378440366972475,0,5
reunião 01,2025-07-30,,[],426,0,01 - Progetos\zData Analyst\Frella\Projetos\botão att\reunião 01.md,0.13876146788990826,0,5
e-mail,2025-09-04,,[],595,0,01 - Progetos\zData Analyst\Frella\Projetos\Video aula de Ia\e-mail.md,0.07912844036697247,0,5
Estutura dos slides,2025-09-04,,[],572,0,01 - Progetos\zData Analyst\Frella\Projetos\Video aula de Ia\Estutura dos slides.md,0.08371559633027523,0,5
Primeiro video.,2025-09-04,,[],17,0,01 - Progetos\zData Analyst\Frella\Projetos\Video aula de Ia\Primeiro video..md,1.2196100917431192,0,5
Video aula de IA,2025-09-04,2025-09-04,[],11,0,01 - Progetos\zData Analyst\Frella\Projetos\Video aula de Ia\Video aula de IA.md,1.2775229357798166,0,5
Acercamento,2024-09-12,2024-09-12,[],42,2,01 - Progetos\zData Analyst\Graficos\Acercamento.md,2.92212389380531,0,3
Barras horizontais empilhadas,2024-12-31,2024-09-11,['DataAnalyst'],18,1,01 - Progetos\zData Analyst\Graficos\Barras horizontais empilhadas.md,2.4057142857142857,1,3
Barras horizontais,2024-12-31,2024-09-11,['DataAnalyst'],22,2,01 - Progetos\zData Analyst\Graficos\Barras horizontais.md,3.566371681415929,1,3
Barras verticais empilhadas,2024-12-31,2024-09-10,['DataAnalyst'],59,3,01 - Progetos\zData Analyst\Graficos\Barras verticais empilhadas.md,3.3198090692124107,1,3
Barras verticais,2024-12-31,2024-09-10,['DataAnalyst'],25,1,01 - Progetos\zData Analyst\Graficos\Barras verticais.md,2.230857142857143,1,3
Barras,2024-12-31,2024-09-10,['DataAnalyst'],227,11,01 - Progetos\zData Analyst\Graficos\Barras.md,4.48695652173913,1,3
Boxplot,2025-01-02,2025-01-02,[],83,8,01 - Progetos\zData Analyst\Graficos\Boxplot.md,6.4602272727272725,0,3
Causa e efeito,2024-12-17,2024-12-17,['Gráfico'],91,1,01 - Progetos\zData Analyst\Graficos\Causa e efeito.md,1.2285714285714286,1,3
Conexão,2024-09-12,2024-09-12,[],59,4,01 - Progetos\zData Analyst\Graficos\Conexão.md,4.091176470588235,0,3
Continuidade,2024-09-12,2024-09-12,[],54,2,01 - Progetos\zData Analyst\Graficos\Continuidade.md,2.5592920353982302,0,3
Cores,2025-04-12,2025-04-12,[],65,1,01 - Progetos\zData Analyst\Graficos\Cores.md,1.4902857142857142,0,3
Densidade de frequência,2025-01-02,2025-01-02,['Conceito'],22,0,01 - Progetos\zData Analyst\Graficos\Densidade de frequência.md,1.1553899082568808,1,3
Diagramas de Venn,2025-01-04,,[],0,0,01 - Progetos\zData Analyst\Graficos\Diagramas de Venn.md,1.3549311926605505,0,3
Diretrizes para apresentações,2025-04-09,2025-04-09,[],132,0,01 - Progetos\zData Analyst\Graficos\Diretrizes para apresentações.md,0.4822247706422018,0,3
Elementos de um Bom Gráfico,2024-12-17,2024-12-17,['Gráfico'],105,1,01 - Progetos\zData Analyst\Graficos\Elementos de um Bom Gráfico.md,1.1142857142857143,1,3
Exemplo de gráficos,2024-09-21,2024-09-13,['DataAnalyst'],307,25,01 - Progetos\zData Analyst\Graficos\Exemplo de gráficos.md,14.56,1,3
Fechamento,2024-09-12,2024-09-12,[],61,3,01 - Progetos\zData Analyst\Graficos\Fechamento.md,3.2482100238663483,0,3
Gráfico de cascata,2025-05-13,2024-09-10,['DataAnalyst'],37,2,01 - Progetos\zData Analyst\Graficos\Gráfico de cascata.md,3.0584070796460177,1,3
Gráfico de dispersão,2024-09-07,2024-09-07,[],72,4,01 - Progetos\zData Analyst\Graficos\Gráfico de dispersão.md,3.6,0,3
Gráfico de inclinaçao,2024-09-29,2024-09-29,[],17,1,01 - Progetos\zData Analyst\Graficos\Gráfico de inclinaçao.md,2.430857142857143,0,3
Gráfico de inclinação,2024-12-31,2024-09-10,['DataAnalyst'],105,4,01 - Progetos\zData Analyst\Graficos\Gráfico de inclinação.md,2.8676470588235294,1,3
Gráfico de linhas,2024-12-31,2024-09-10,['DataAnalyst'],29,2,01 - Progetos\zData Analyst\Graficos\Gráfico de linhas.md,3.343362831858407,1,3
Gráfico de Área,2024-09-11,2024-09-11,[],36,2,01 - Progetos\zData Analyst\Graficos\Gráfico de Área.md,3.0831858407079644,0,3
Gráficos de dispersão,2025-02-12,2024-12-18,['Gráfico'],112,4,01 - Progetos\zData Analyst\Graficos\Gráficos de dispersão.md,2.7441176470588236,1,3
Gráficos de área empilhada,2025-04-27,2025-04-27,['Gráfico'],10,1,01 - Progetos\zData Analyst\Graficos\Gráficos de área empilhada.md,2.5714285714285716,1,3
Gráficos interativos.,2025-04-15,2025-04-15,[],17,0,01 - Progetos\zData Analyst\Graficos\Gráficos interativos..md,1.2196100917431192,0,3
Gráficos ruins,2024-12-17,2024-12-17,['Gráfico'],40,1,01 - Progetos\zData Analyst\Graficos\Gráficos ruins.md,1.9245714285714286,1,3
Histograma,2024-12-20,2024-12-18,['Gráfico'],92,7,01 - Progetos\zData Analyst\Graficos\Histograma.md,5.165048543689321,1,3
Linhas,2024-09-12,2024-09-07,['DataAnalyst'],13,2,01 - Progetos\zData Analyst\Graficos\Linhas.md,3.9008849557522125,1,3
Mapa de calor,2024-09-07,2024-09-07,[],41,2,01 - Progetos\zData Analyst\Graficos\Mapa de calor.md,2.9486725663716813,0,3
Matriz de correlção,2025-01-18,2025-01-18,['Conceito'],31,1,01 - Progetos\zData Analyst\Graficos\Matriz de correlção.md,2.105142857142857,1,3
Matrizes de dispersão,2024-12-18,2024-12-18,['Conceito'],151,3,01 - Progetos\zData Analyst\Graficos\Matrizes de dispersão.md,1.837708830548926,1,3
Pontos,2024-12-31,2024-09-07,['DataAnalyst'],11,1,01 - Progetos\zData Analyst\Graficos\Pontos.md,2.5462857142857143,1,3
Princípios da Gestalt,2024-09-12,2024-09-12,[],44,8,01 - Progetos\zData Analyst\Graficos\Princípios da Gestalt.md,9.1875,0,3
Proximidade,2024-09-12,2024-09-12,[],54,2,01 - Progetos\zData Analyst\Graficos\Proximidade.md,2.5592920353982302,0,3
Similaridade,2024-09-12,2024-09-12,[],36,2,01 - Progetos\zData Analyst\Graficos\Similaridade.md,3.0831858407079644,0,3
Sites,2024-09-30,2024-09-29,[],57,1,01 - Progetos\zData Analyst\Graficos\Sites.md,1.6205714285714286,0,3
Tabela,2024-12-31,2024-09-07,['DataAnalyst'],66,2,01 - Progetos\zData Analyst\Graficos\Tabela.md,2.2761061946902656,1,3
Texto simples,2024-09-07,2024-09-07,[],61,3,01 - Progetos\zData Analyst\Graficos\Texto simples.md,3.2482100238663483,0,3
Uso de animação nos visuais apresentados,2024-09-26,2024-09-26,['DataAnalyst'],34,1,01 - Progetos\zData Analyst\Graficos\Uso de animação nos visuais apresentados.md,2.0434285714285716,1,3
Visualização boa de gráficos,2025-04-09,2025-04-09,[],103,0,01 - Progetos\zData Analyst\Graficos\Visualização boa de gráficos.md,0.5647935779816514,0,3
Chunking,2025-05-11,2025-05-03,['ia'],110,1,01 - Progetos\zData Analyst\IA\Chunking.md,1.0765714285714285,1,3
Embedding,2025-05-03,2025-05-03,['ia'],196,0,01 - Progetos\zData Analyst\IA\Embedding.md,0.34461009174311924,1,3
RAG,2025-05-13,2025-05-03,['ia'],194,2,01 - Progetos\zData Analyst\IA\RAG.md,1.072566371681416,1,3
Agentes  facil,2025-05-19,2025-05-18,[],761,0,01 - Progetos\zData Analyst\IA\Projetos\Agentes  facil.md,0.06422018348623854,0,4
RAG,2025-05-13,2025-05-12,[],65,0,01 - Progetos\zData Analyst\IA\Projetos\RAG.md,0.7477064220183486,0,4
Resumo de Feedback de Clientes,2025-05-06,2025-05-06,['Comando'],108,0,01 - Progetos\zData Analyst\IA\Projetos\Resumo de Feedback de Clientes.md,0.5481651376146789,1,4
Administrador de Banco de Dados (DBA),2025-09-19,2025-09-19,[],38,1,01 - Progetos\zData Analyst\Linkedln\Administrador de Banco de Dados (DBA).md,1.9588571428571429,0,3
Analista de Governança de Dados,2025-09-19,2025-09-19,[],59,1,01 - Progetos\zData Analyst\Linkedln\Analista de Governança de Dados.md,1.5897142857142856,0,3
Arquiteto de Dados,2025-09-19,2025-09-19,[],50,2,01 - Progetos\zData Analyst\Linkedln\Arquiteto de Dados.md,2.656637168141593,0,3
Curriculo,2025-05-18,,[],0,0,01 - Progetos\zData Analyst\Linkedln\Curriculo.md,1.3549311926605505,0,3
Estratégia de funil,2025-04-24,2025-04-20,[],246,2,01 - Progetos\zData Analyst\Linkedln\Estratégia de funil.md,0.8265486725663717,0,3
Exemplo de postes,2025-01-16,2024-12-06,[],297,4,01 - Progetos\zData Analyst\Linkedln\Exemplo de postes.md,1.0911764705882352,0,3
Funil real de vagas,2025-05-20,2025-04-30,[],6041,0,01 - Progetos\zData Analyst\Linkedln\Funil real de vagas.md,0.016055045871559634,0,3
linkedin,2024-09-04,2024-08-31,[],58,2,01 - Progetos\zData Analyst\Linkedln\linkedin.md,2.4920353982300885,0,3
Network,2024-09-21,2024-09-21,['Networking'],217,0,01 - Progetos\zData Analyst\Linkedln\Network.md,0.3084862385321101,1,3
Palavras chaves,2025-04-24,2025-04-24,[],20,0,01 - Progetos\zData Analyst\Linkedln\Palavras chaves.md,1.180045871559633,0,3
perguntas,2024-10-16,,[],224,0,01 - Progetos\zData Analyst\Linkedln\perguntas.md,0.2998853211009174,0,3
Pesquisa booleana,2025-05-15,2025-05-15,[],106,0,01 - Progetos\zData Analyst\Linkedln\Pesquisa booleana.md,0.555045871559633,0,3
Prompt para iniciar conversa.,2025-02-23,2025-02-23,[],322,0,01 - Progetos\zData Analyst\Linkedln\Prompt para iniciar conversa..md,0.1938073394495413,0,3
Prompts de converças,2025-07-28,,[],1187,0,01 - Progetos\zData Analyst\Linkedln\Prompts de converças.md,0.0481651376146789,0,3
README git,2025-04-29,2025-04-29,[],341,0,01 - Progetos\zData Analyst\Linkedln\README git.md,0.18061926605504589,0,3
Sem título,2024-10-16,,[],466,0,01 - Progetos\zData Analyst\Linkedln\Sem título.md,0.12270642201834862,0,3
sistemas de rastreamento de candidatos (ATS),2025-05-05,2025-05-05,[],424,0,01 - Progetos\zData Analyst\Linkedln\sistemas de rastreamento de candidatos (ATS).md,0.13990825688073394,0,3
TBT,2025-03-28,2025-03-28,[],71,0,01 - Progetos\zData Analyst\Linkedln\TBT.md,0.7104357798165137,0,3
Torne-se parceiro do contato,2024-09-18,2024-09-18,['Networking'],65,0,01 - Progetos\zData Analyst\Linkedln\Torne-se parceiro do contato.md,0.7477064220183486,1,3
Vagas,2025-05-08,,[],37477,0,01 - Progetos\zData Analyst\Linkedln\Vagas.md,0.0034403669724770644,0,3
Certificados,2025-06-15,,[],28,6,01 - Progetos\zData Analyst\Linkedln\Calendário de postagens\Certificados.md,7.815573770491803,0,4
O que as empresas querem de mim,2025-01-17,2025-01-17,[],365,0,01 - Progetos\zData Analyst\Linkedln\nãosei\O que as empresas querem de mim.md,0.16972477064220184,0,4
Reds,2025-04-24,2025-04-24,[],1312,0,01 - Progetos\zData Analyst\Linkedln\nãosei\Reds.md,0.04472477064220184,0,4
Sarah F. Rezende,2025-06-01,,[],321,6,01 - Progetos\zData Analyst\Linkedln\Portifolio\Sarah F. Rezende.md,1.3975409836065573,0,4
a escrever,2025-08-06,,[],6,1,01 - Progetos\zData Analyst\Linkedln\Posts\a escrever.md,2.6125714285714285,0,4
Posts,2025-08-02,,[],2237,19,01 - Progetos\zData Analyst\Linkedln\Posts\Posts.md,1.0,0,4
Projetos,2025-08-17,,[],323,2,01 - Progetos\zData Analyst\Linkedln\Posts\Projetos.md,0.5946902654867257,0,4
Acurácia,2025-05-24,2025-05-24,['[]'],51,0,01 - Progetos\zData Analyst\ML\Acurácia.md,0.8514908256880734,1,3
AED,2025-05-25,,[],0,0,01 - Progetos\zData Analyst\ML\AED.md,1.3549311926605505,0,3
Aprendizado,2025-05-19,2025-05-19,[],35,0,01 - Progetos\zData Analyst\ML\Aprendizado.md,1.010894495412844,0,3
bias (tendência),2025-05-20,2025-05-20,[],52,0,01 - Progetos\zData Analyst\ML\bias (tendência).md,0.8411697247706422,0,3
Coeficiente de Determinação,2025-05-20,2025-05-20,[],74,0,01 - Progetos\zData Analyst\ML\Coeficiente de Determinação.md,0.6903669724770642,0,3
Dados empíricos,2025-05-19,2025-05-19,[],44,0,01 - Progetos\zData Analyst\ML\Dados empíricos.md,0.9271788990825688,0,3
Definindo tarefas,2025-05-25,2025-05-25,[],281,0,01 - Progetos\zData Analyst\ML\Definindo tarefas.md,0.22993119266055045,0,3
distância Euclideana,2025-09-18,2025-05-25,['Comando'],197,5,01 - Progetos\zData Analyst\ML\distância Euclideana.md,2.0874125874125875,1,3
Erro Médio Absoluto,2025-05-22,2025-05-22,[],167,2,01 - Progetos\zData Analyst\ML\Erro Médio Absoluto.md,1.24070796460177,0,3
Erro percentual absoluto médio,2025-05-24,2025-05-24,[],117,0,01 - Progetos\zData Analyst\ML\Erro percentual absoluto médio.md,0.518348623853211,0,3
Erro quadrático médio,2025-05-24,2025-05-22,['Comando'],171,1,01 - Progetos\zData Analyst\ML\Erro quadrático médio.md,0.7691428571428571,1,3
Erro relativo,2025-05-22,2025-05-22,[],129,0,01 - Progetos\zData Analyst\ML\Erro relativo.md,0.49311926605504586,0,3
F1_score,2025-09-18,2025-05-24,[],100,7,01 - Progetos\zData Analyst\ML\F1_score.md,4.834951456310679,0,3
Função custo,2025-05-22,2025-05-22,[],231,2,01 - Progetos\zData Analyst\ML\Função custo.md,0.8920353982300885,0,3
Gradiente Descendente,2025-05-24,2025-05-22,[],119,1,01 - Progetos\zData Analyst\ML\Gradiente Descendente.md,1.022857142857143,0,3
Limiar de Decisão,2025-05-24,2025-05-24,[],251,0,01 - Progetos\zData Analyst\ML\Limiar de Decisão.md,0.26490825688073394,0,3
LoRA,2025-07-15,2025-07-15,['ia'],36,1,01 - Progetos\zData Analyst\ML\LoRA.md,1.9908571428571429,1,3
Matriz de confusão,2025-05-24,2025-05-24,[],104,1,01 - Progetos\zData Analyst\ML\Matriz de confusão.md,1.1211428571428572,0,3
ML,2025-05-19,2025-05-19,[],70,0,01 - Progetos\zData Analyst\ML\ML.md,0.7173165137614679,0,3
Modelo,2025-05-20,2025-05-20,[],30,0,01 - Progetos\zData Analyst\ML\Modelo.md,1.0711009174311927,0,3
Multicolinearidade,2025-05-24,2025-05-24,[],115,0,01 - Progetos\zData Analyst\ML\Multicolinearidade.md,0.5246559633027523,0,3
Métricas de classificação,2025-05-24,2025-05-24,[],38,5,01 - Progetos\zData Analyst\ML\Métricas de classificação.md,5.993006993006993,0,3
Métricas para agrupamentos,2025-05-25,2025-05-25,[],206,2,01 - Progetos\zData Analyst\ML\Métricas para agrupamentos.md,0.9982300884955753,0,3
NLP,2025-07-19,2025-07-19,['Datascience'],32,2,01 - Progetos\zData Analyst\ML\NLP.md,3.231858407079646,1,3
NLU,2025-07-19,2025-07-19,['DataAnalyst'],233,0,01 - Progetos\zData Analyst\ML\NLU.md,0.28727064220183485,1,3
Normalização,2025-05-25,2025-05-25,[],47,0,01 - Progetos\zData Analyst\ML\Normalização.md,0.893348623853211,0,3
O Pipeline do Aprendizado de Máquina,2025-05-24,2025-05-22,[],387,7,01 - Progetos\zData Analyst\ML\O Pipeline do Aprendizado de Máquina.md,1.3300970873786409,0,3
Padronização,2025-05-25,2025-05-25,[],41,0,01 - Progetos\zData Analyst\ML\Padronização.md,0.9552752293577982,0,3
Precisão e sensibilidade,2025-05-24,2025-05-24,[],156,0,01 - Progetos\zData Analyst\ML\Precisão e sensibilidade.md,0.4243119266055046,0,3
Pré processamento de dados,2025-05-25,2025-05-25,['Comando'],359,0,01 - Progetos\zData Analyst\ML\Pré processamento de dados.md,0.17259174311926606,1,3
Pré-processamento de Dados,2025-05-24,2025-05-24,[],279,1,01 - Progetos\zData Analyst\ML\Pré-processamento de Dados.md,0.46285714285714286,0,3
Redução de dimensionalidade,2025-05-25,2025-05-20,[],149,0,01 - Progetos\zData Analyst\ML\Redução de dimensionalidade.md,0.4461009174311927,0,3
Reforço de aprendizado,2025-05-25,2025-05-20,[],198,0,01 - Progetos\zData Analyst\ML\Reforço de aprendizado.md,0.3388761467889908,0,3
Regularização,2025-05-24,2025-05-24,[],230,2,01 - Progetos\zData Analyst\ML\Regularização.md,0.8991150442477877,0,3
RMSE,2025-09-11,2025-09-11,[],25,1,01 - Progetos\zData Analyst\ML\RMSE.md,2.230857142857143,0,3
ROC,2025-05-24,2025-05-24,[],73,0,01 - Progetos\zData Analyst\ML\ROC.md,0.694954128440367,0,3
Selecionando Métricas,2025-06-03,2025-05-25,[],49,0,01 - Progetos\zData Analyst\ML\Selecionando Métricas.md,0.8698394495412844,0,3
Target variables,2025-05-19,2025-05-19,[],65,1,01 - Progetos\zData Analyst\ML\Target variables.md,1.4902857142857142,0,3
Agrupamento aglomerativo hierárquico,2025-05-25,2025-05-25,[],265,1,01 - Progetos\zData Analyst\ML\Modelos\Agrupamento aglomerativo hierárquico.md,0.49257142857142855,0,4
Florestas Aleatória,2025-06-03,2025-05-24,['Comando'],236,1,01 - Progetos\zData Analyst\ML\Modelos\Florestas Aleatória.md,0.5634285714285714,1,4
Gradient boosting vx Árvore aleatória,2025-05-25,2025-05-25,[],50,1,01 - Progetos\zData Analyst\ML\Modelos\Gradient boosting vx Árvore aleatória.md,1.7154285714285715,0,4
Gradient boosting,2025-05-25,2025-05-25,[],77,1,01 - Progetos\zData Analyst\ML\Modelos\Gradient boosting.md,1.3497142857142856,0,4
K-means,2025-05-25,2025-05-25,[],255,1,01 - Progetos\zData Analyst\ML\Modelos\K-means.md,0.5188571428571429,0,4
Modelos resumo,2025-05-22,2025-05-22,[],152,1,01 - Progetos\zData Analyst\ML\Modelos\Modelos resumo.md,0.872,0,4
Regressão Linear,2025-06-03,2025-05-22,[],474,0,01 - Progetos\zData Analyst\ML\Modelos\Regressão Linear.md,0.11639908256880734,0,4
Regressão logística,2025-06-03,2025-05-24,[],181,1,01 - Progetos\zData Analyst\ML\Modelos\Regressão logística.md,0.7325714285714285,0,4
Selecionando modelo,2025-05-25,2025-05-25,[],54,0,01 - Progetos\zData Analyst\ML\Modelos\Selecionando modelo.md,0.8291284403669725,0,4
Snips-NLU,2025-07-19,2025-07-19,['Datascience'],736,1,01 - Progetos\zData Analyst\ML\Modelos\Snips-NLU.md,0.14285714285714285,1,4
